ID	caption
ImageCLEFmedCaption_2022_train_000033	flexible tip of the semirigid ureteroscope bend at distal ureter before pass through the iliac constriction
ImageCLEFmedCaption_2022_train_000034	after balloon dilatation a major dissection occur in the proximal leave anterior descend artery white arrow which induce thrombolysis in myocardial infarction flow grade i to ii in the distal leave anterior descend artery black arrow
ImageCLEFmedCaption_2022_train_000035	stentgraft plz
ImageCLEFmedCaption_2022_train_000036	triple loop snare use to retrieve catheter fragment
ImageCLEFmedCaption_2022_train_000037	the venogram of the right pelivis on prone position reveal an almost complete luminal occlusion of the right common and external iliac vein with development of the pelvic collateral
ImageCLEFmedCaption_2022_train_000038	dsa image of the left eca collateral circulation be not encounter between left eca and ica
ImageCLEFmedCaption_2022_train_000039	placement of a  x  mm esophageal stent
ImageCLEFmedCaption_2022_train_000040	intraoperative cholangiogram a common hepatic duct b cystic duct c common bile duct
ImageCLEFmedCaption_2022_train_000041	postembolization angiogram show absent communication of carotid artery and cavernous sinus ie carotidcavernous fistula close
ImageCLEFmedCaption_2022_train_000042	wire in the distal segment
ImageCLEFmedCaption_2022_train_000043	stenosis after patch angioplasty
ImageCLEFmedCaption_2022_train_000044	pelvic angiogram show a bilateral superselective catheterization
ImageCLEFmedCaption_2022_train_000045	coronary angiography leave anterior oblique view with  angulation show air bubble in the mid segment of the right coronary artery white arrow
ImageCLEFmedCaption_2022_train_000046	angiography of the left coronary artery optimal anastomosis of the lima to the lad retrograde blood flow in the left mammary artery graft to the ladlater phase arrow
ImageCLEFmedCaption_2022_train_000047	the  positivity he
ImageCLEFmedCaption_2022_train_000048	conventional angiography show aneurysm in the origin of superior mesenteric artery
ImageCLEFmedCaption_2022_train_000049	ivc filter deploy above the iliocaval stentthe fluoroscopic image demonstrate the permanent ivc filter yellow arrow deploy directly above the iliocaval stentivc inferior vena cava
ImageCLEFmedCaption_2022_train_000050	digital subtraction image depict patient true anatomy venogram show leaveside ivc with filter black arrow preaortic trunk white arrow and a wallstent star deploy in right infrarenal ivc
ImageCLEFmedCaption_2022_train_000051	check retinal staining arrow by the injection of radioopaque material through a microcatheter place in the ostium of the ophthalmic artery  prior to intraarterial chemotherapy administration
ImageCLEFmedCaption_2022_train_000052	leave anterior oblique projection  show retrograde catheter placement at site of successful ablation
ImageCLEFmedCaption_2022_train_000053	intraoperative leave uterine artery angiography and embolization use gelfoam
ImageCLEFmedCaption_2022_train_000054	right coronary angiography show taper of the right coronary artery rca after the acute margin branch while the distal segment be dilated and drain to the same coronary sinus along with di
ImageCLEFmedCaption_2022_train_000055	coronary angiography demonstrate mild right coronary artery irregularity with a  focal lesion with thrombus
ImageCLEFmedCaption_2022_train_000056	digital subtraction angiogram obtain  hour after initiation of catheterdirect thrombolysis show patency of stented right common and external iliac artery
ImageCLEFmedCaption_2022_train_000057	fluoroscopic image show endoscopic transmural drainage combine with percutaneous drainage in a patient with pancreatic necrosis
ImageCLEFmedCaption_2022_train_000058	carm control while insert second hcs both screw be tighten and bury inside medial tibial cortex
ImageCLEFmedCaption_2022_train_000059	needle position black arrow for injection of the local anaesthetic steroid mixture into the ganglion impar before injection of the mixture a small amount of contrast be inject which form a comma like appearance white arrow in front of the sacrococcygeal joint indicate the location of the ganglion impar
ImageCLEFmedCaption_2022_train_000060	preserve flow in rca after burr retrieval lao  cran
ImageCLEFmedCaption_2022_train_000061	leave ventriculogram in takotsubo cardiomyopathy
ImageCLEFmedCaption_2022_train_000062	fluoroscopic image show two clip arrow implant in order to reduce mitral regurgitation
ImageCLEFmedCaption_2022_train_000063	preoperative radiogram demonstrate severe mitral annular calcification extend to the left ventricle
ImageCLEFmedCaption_2022_train_000064	flow guide pacing catheter in the right ventricular outflow tract thbe be then bring down to the right ventricular apex for pacing note balloon at tip of flow guide catheter the pigtail catheter at the apex of the arch of the aorta
ImageCLEFmedCaption_2022_train_000065	right anterior oblique coronary angiographic image show a long dissection at the proximal portion to the distal part of the left anterior descend artery arrow
ImageCLEFmedCaption_2022_train_000066	superselective catheterization of the interlobular artery
ImageCLEFmedCaption_2022_train_000067	angiography lateral view arterial phase of the left eca in a  man with uncontrollable epistaxis less than  after surgical removal of a nasopharyngeal mass at the level of the spa a curvilinear contrast extravasation can be see along the posterior margin of the nasopharynx mimic the appearance of a vein know as the pseudo vein sign endovascular embolization with coil and gelfoam fragment successfully stop the bleeding
ImageCLEFmedCaption_2022_train_000068	systemic atrioventricular valve cross with terumo wire through mullins sheath a  swanganz catheter be use to engage the stenotic valve a  jtip terumo wire be introduce into the systemic ventricle and ascend aorta
ImageCLEFmedCaption_2022_train_000069	rich collateral formation between left circumflex artery and right lung assume as multiple fistula
ImageCLEFmedCaption_2022_train_000070	selective right coronary angiography leave anterior oblique projection
ImageCLEFmedCaption_2022_train_000071	rao cranial view on biplanar angiography show the catheter via a femoral approach enter the right atrium then through the unroofed coronary sinus into the left atrium and the pslvc selective dye injection into the plsvc opacifie the left atrium and the coronary sinus
ImageCLEFmedCaption_2022_train_000072	aortography show an aberrant artery flow into the left  field
ImageCLEFmedCaption_2022_train_000073	aortic arch injection demonstrate a type iii arch a type iii arch be technically more difficult to catheterize and obtain a stable guide catheter placement
ImageCLEFmedCaption_2022_train_000074	the lcx be a dominant vessel with an aberrant branch from the distal left circumflex artery that cross the crux and continue to the right atrioventricular groove
ImageCLEFmedCaption_2022_train_000075	the patients leave coronary angiography
ImageCLEFmedCaption_2022_train_000076	fluoroscopyguide lumbar facet joint injection show intraarticular position of the needle tip and contrast fill the inferior recess arrow there be spread of contrast in the perifacetal region arrowhead due to rupture of the capsule
ImageCLEFmedCaption_2022_train_000077	radiograph demonstrate a migrate biliary stent
ImageCLEFmedCaption_2022_train_000078	coronary angiography analysis of lad lad rao caudal view  stenosis in the proximal and middle section with a linear shadow observe locally   stenosis with irregularity of distal lumen  diagonal branch ladleave anterior descend artery raoright anterior oblique
ImageCLEFmedCaption_2022_train_000079	single contrast upper gastrointestinal in the anteroposterior view show contrast extravasation into and layering along the inferior pericardial sac arrow
ImageCLEFmedCaption_2022_train_000080	leave anterior oblique fluoroscopic image show the inflated angioplasty balloon in the epicardial space to increase the separation between the endocardial ablation catheter and the phrenic nerve cs  coronary sinus catheter ice  intracardiac echocardiography catheter
ImageCLEFmedCaption_2022_train_000081	endoscopic retrograde cholangiopancreatography ercp image of stent
ImageCLEFmedCaption_2022_train_000082	angiography show severe lesion in the right coronary artery black arrow
ImageCLEFmedCaption_2022_train_000083	right anterior oblique aortic root angiogram show no presence of an independent origin of the right coronary artery
ImageCLEFmedCaption_2022_train_000084	radiography show the work cannula have successfully reach the operation area at  level
ImageCLEFmedCaption_2022_train_000085	fluoroscopic image of the lumbar spine template place around the lumbar vertebra  on the first frame of the qf sequence
ImageCLEFmedCaption_2022_train_000086	iohexol contrast media be inject with pressure through the narrow opening of the sinus on the skin to identify the location of the ttube tract
ImageCLEFmedCaption_2022_train_000087	descend septal branch a branch of proximal right coronary artery arrow provide blood to part of the basal interventricular septum leave anterior oblique view with shallow cranial angulation this branch may occasionally have a separate origin from the right sinus of valsalva from the author personal dataset
ImageCLEFmedCaption_2022_train_000088	angiogram frontal projection demonstrate left ventricular hypertrophy due to the severe coarctation of the aortic arch with a giant poststenotic aneurysm of the descend aorta
ImageCLEFmedCaption_2022_train_000089	ercp appearance dilated choledochu and unclaved bile duct stone nearly  cm in size at distal end arrow
ImageCLEFmedCaption_2022_train_000090	image after transcatheter superselective embolization of the lesion with the use of coil no vascular supply of the lesion be demonstrate
ImageCLEFmedCaption_2022_train_000091	four year after the second coil embolization cerebral angiography reveal reenlargement of the remnant neck to recanalize the aneurysm to drastically grow far
ImageCLEFmedCaption_2022_train_000092	axial fluoroscopy demonstration of balloon occlusion and percutaneous placement of the  micropuncture needle into the medial and cephalad portion of the psa
ImageCLEFmedCaption_2022_train_000093	angiographic imaging of left coronary sinus show a single coronary ostium lmca leave main coronary artery rca right coronary artery
ImageCLEFmedCaption_2022_train_000094	patient  right rca and leave lca coronary artery right anterior oblique rao  view
ImageCLEFmedCaption_2022_train_000095	deployment of bms stent into proximal lad lesion
ImageCLEFmedCaption_2022_train_000096	selective catheterization with subsequent angiogram of the third anterior division of the right hypogastric likely the right obturator artery with arrow pointing at cephalad branch in communication with the extravasated contrast accumulation
ImageCLEFmedCaption_2022_train_000097	a still from the cag show  occlusion of the proximal rca white arrow
ImageCLEFmedCaption_2022_train_000098	selective leave renal artery angiography after coil deployment and detachment there be a compact appearance of the coil and complete filling of the aneurysm with downstream vasculartree preservation
ImageCLEFmedCaption_2022_train_000099	coronary angiogram show lmca lad and lcx with a prosthetic mitral valve arrow point to lcx artery
ImageCLEFmedCaption_2022_train_000100	typical postoperative angiogram in thbe case a y composite be make by attach the radial artery to the left internal mammary artery show from the left anterior descend and an obtuse marginal anastomosbe be wide open
ImageCLEFmedCaption_2022_train_000101	the degenerative nuclear atypic area ancient modification he
ImageCLEFmedCaption_2022_train_000102	intraoperative angiography demonstrate that the stenosis disappear and that the left internal carotid artery keep patency after the stent deploy everolimuseluting coronary stent  boston scientific boston usa
ImageCLEFmedCaption_2022_train_000103	percutaneous transhepatic cholangiography dye injection in left duct at the time of stent deployment two  cm transhepatic gianturco prosthesbe place through the right duct across the anastomosbe the low prosthesbe be fully open the upper locate in normal size duct be partially open
ImageCLEFmedCaption_2022_train_000104	an angiogram show pulmonary tuberculosis in the right upper lung field type i right intercostobronchial angiography show hypervascularity from the bronchial artery grade i
ImageCLEFmedCaption_2022_train_000105	rudimentary lad which be see to end abruptlyladleave anterior descend artery
ImageCLEFmedCaption_2022_train_000106	a postoperative angiography show that the overall flow of the rightsided va be improve when the head be turn to the right va vertebral artery
ImageCLEFmedCaption_2022_train_000107	totally occlude sfa
ImageCLEFmedCaption_2022_train_000108	extremely large lcx be see course toward the apex with the apical lcx supply the territory of the ladlcx leave circumflex artery lad leave anterior descend artery
ImageCLEFmedCaption_2022_train_000109	detection of apoptose retinal cell darc count in a glaucoma patient darc count be define as new unique individual  spot at their first appearance in the retina  injection reveal single neuronal cell apoptosis in the retina of study subject and darc count be increase in affect glaucoma patient compbed to healthy control
ImageCLEFmedCaption_2022_train_000110	direct puncture by a  needle under fluoroscopy guidance demonstrate perfusion of the fluid collection surround the aneurysm main pancreatic duct arrowhead and duodenum arrow
ImageCLEFmedCaption_2022_train_000111	fluoroscopic image obtain after placement of micropuncture needle in the peritoneal cavity show small amount of nonionic contrast material outline the bowel wall and confirm the intraperitoneal location of the needle
ImageCLEFmedCaption_2022_train_000112	female with dural arteriovenous fistula lateral view of the right vertebral angiogram demonstrate the artery of davidoff and schechter ads supply the dural avf arrow
ImageCLEFmedCaption_2022_train_000113	anteroposterior angiogram of the right vertebral artery show a dissect aneurysm arise from the right vertebral artery distal to origin of pica pica  posterior inferior cerebellar artery
ImageCLEFmedCaption_2022_train_000114	digital subtraction angiogram anteroposterior left and lateral right projection of right common carotid artery injection an area of extravasation be appreciate in the anterior and medial cavernous segment arrow the extravasation be not vbeualized on the ap view due to artifact cause by nasal packing
ImageCLEFmedCaption_2022_train_000115	interventional radiologistguide embolisation of the left pulmonary artery which be the culprit vessel
ImageCLEFmedCaption_2022_train_000116	leave coronary artery rao  caudal
ImageCLEFmedCaption_2022_train_000117	the left subclavian artery with implant stent renewal of anterograde blood flow in the left mammary artery arrow
ImageCLEFmedCaption_2022_train_000118	aortic root angiogram with marker pigtail to verify sizing
ImageCLEFmedCaption_2022_train_000119	complete occlusion of the posterolateral branch of right coronary artery
ImageCLEFmedCaption_2022_train_000120	selective angiography of the hepatic artery show multiple variablysized and hypervascular lesion in both hepatic lobe arrow indicate hepatocellular carcinoma
ImageCLEFmedCaption_2022_train_000121	before right uterine artery embolization
ImageCLEFmedCaption_2022_train_000122	area to be crop
ImageCLEFmedCaption_2022_train_000123	initial angiogram initial angiography show severe stenosis of the left common iliac artery red arrow and total occlusion of the left external iliac artery arrowhead the common femoral artery be delayenhance via collateral circulation yellow arrow
ImageCLEFmedCaption_2022_train_000124	two wire pass through the stricture the flexible cystoscope be place inside the ileal conduit at the dbetal end of the stricture note the awkward acute angle at the anastomotic stricture
ImageCLEFmedCaption_2022_train_000125	patient  twentyfouryearold male after bike accident
ImageCLEFmedCaption_2022_train_000126	balloon angioplasty of stricture choledochojejunostomy
ImageCLEFmedCaption_2022_train_000127	postoperative tfca show  thrombosis
ImageCLEFmedCaption_2022_train_000128	fluoroscopic image show the attempt to cannulate the stent with a guidewire
ImageCLEFmedCaption_2022_train_000129	four vessel digital subtraction angiogram show the absence of prominent arterial feeder or tumor blush
ImageCLEFmedCaption_2022_train_000130	blood flow be restore after percutaneous coronary intervention of the lad coronary artery arrow
ImageCLEFmedCaption_2022_train_000131	mri of the brain with contrast increase flow in the left cavernous sinus and engorgement of the left ophthalmic vein
ImageCLEFmedCaption_2022_train_000132	stent implantation  promus element  mm   mm   atm
ImageCLEFmedCaption_2022_train_000133	angiogram of a   infant with arch hypoplasia in lateral view show a amplatzer vascular plug ii  device use to close a  ductus the device produce a significant pressure gradient between the ascend and descend aorta
ImageCLEFmedCaption_2022_train_000134	rao cranial view of right coronary system rca be a severe ectactic vessel with diffuse thrombus in midsegment rca right coronary artery
ImageCLEFmedCaption_2022_train_000135	leave internal mammary artery anastomose to leave anterior descend artery
ImageCLEFmedCaption_2022_train_000136	azygosportal vein collateral in a patient candidate for fontan xray angiography show an azygosportal vein collateral  miss at mra
ImageCLEFmedCaption_2022_train_000137	tip through the left branch of the portal vein
ImageCLEFmedCaption_2022_train_000138	contrast injection through percutaneous abscess drain show communication between abscess leave biliary system and extravasation of contrast
ImageCLEFmedCaption_2022_train_000139	old woman involve in a rollover motor vehicle collision on admission to the hospital a screen fourvessel angiogram reveal a pseudoaneurysm of the leave vertebral artery at the level of the  disc space followup angiography perform  day later reveal enlargement of the pseudoaneurysm and concomitant narrow of the vertebral artery due to the tortuosity of the vertebral artery stent placement be not deem a viable option and the vertebral artery be embolize lateral digital subtraction angiogram leave vertebral artery notice the pseudoaneurysm arise from the distal vertebral artery arrow and the adjacent vertebral artery narrow
ImageCLEFmedCaption_2022_train_000140	the angiographic image show a dilated left internal mammary artery with a fistula to the internal mammary vein
ImageCLEFmedCaption_2022_train_000141	coronary angiogram right anterior oblique view of lad prior to percutaneous coronary intervention show dissection with clot in proximal lad with timi  flow distally black arrow
ImageCLEFmedCaption_2022_train_000142	due to large resting gap there be still a gap of  mm on phonation
ImageCLEFmedCaption_2022_train_000143	coronary angiogram after the redo coronary artery bypass grafting coronary angiogram after the redo coronary artery bypass grafting show a patent right internal thoracic artery and blood flow communication between the first diagonal branch and the left anterior descend artery red arrow
ImageCLEFmedCaption_2022_train_000144	venogram demonstrate the line position and persbetent leaveside svc contrast injection show variant drainage of the neck and arm vein with right and leave brachiocephalic vein divide to drain into a normally place right svc and a persbetent leaveside svc which be drain into the right atrium inferiorly thbe patient have a persbetent leaveside svc drain into the right atrium the line tip be in thbe vessel give good flow in both lumen
ImageCLEFmedCaption_2022_train_000145	late arterial phase of left upper renal artery demonstrate abnormal vascularity of aml and extravasation from the pseudoaneurysm
ImageCLEFmedCaption_2022_train_000146	after second bare metal stent implantation there be no more contrast extravasation into the pericardial space thbe be evaluate as complete sealing of the coronary perforation
ImageCLEFmedCaption_2022_train_000147	fluoroscopic view of deploy transcatheter  mm edwards valve within stenotic mitral tissue valve with delivery sheath in left ventricular cavity and amplatz wire through deploy valve
ImageCLEFmedCaption_2022_train_000148	angiography show leave main coronary artery arise from the right sinus of valsalva rca right coronary artery lad leave anterior descend artery lcx leave circumflex coronary artery
ImageCLEFmedCaption_2022_train_000149	after  week repeat cerebral angiogram show the pseudoaneurysm change more aggravating appearance
ImageCLEFmedCaption_2022_train_000150	digital subtraction angiography show the pseudoaneurysm be vascularize from the deep palmar arch the deep palmar arch be an anatomically incomplete variant the radial part of the incomplete arch be vascularize from a branch originate from the radial artery and the ulnar part by a branch from the metacarpal artery from the third and fourth finger
ImageCLEFmedCaption_2022_train_000151	final retrograde ureteropyelography show resolution of urine leakage
ImageCLEFmedCaption_2022_train_000152	case  a a  electrocardiogram with an aggressive inferiorlateral er pattern during hypothermia treatment red arrow b the electrocardiogram be completely normalize after adminbetration of beoproterenol infusion
ImageCLEFmedCaption_2022_train_000153	passage of a  hydra jagwire boston scientific into the gallbladder though the  g needle cook endoscopy from the transduodenal position
ImageCLEFmedCaption_2022_train_000154	select renal angiography
ImageCLEFmedCaption_2022_train_000155	leave anterior oblique lao position of the aorca graftabbreviation caud caudal aorca aorta to the right coronary artery
ImageCLEFmedCaption_2022_train_000156	stenosis of both subclavian artery
ImageCLEFmedCaption_2022_train_000157	lao and  cra angiographic control at day  show reopen diagonallad
ImageCLEFmedCaption_2022_train_000158	preintervention diagnostic angiogram delineate bleed from aortoesophageal fistula
ImageCLEFmedCaption_2022_train_000159	minute after reopro infusion the forward flow through the filling defect show reestablish on the left cca ap view
ImageCLEFmedCaption_2022_train_000160	preliminary angiography confirm aps presence
ImageCLEFmedCaption_2022_train_000161	aortic root angiogram showing normally situate leave and right coronary ostium normal leave main stem and small atretic right coronary artery
ImageCLEFmedCaption_2022_train_000162	angiogram at  followup show complete obliteration of the pseudoaneurysm and successful reconstruction of the left internal carotid lumen
ImageCLEFmedCaption_2022_train_000163	final angiogram show wellexpand stent at cuprit lesion and full opacification of distal rca rca right coronary artery
ImageCLEFmedCaption_2022_train_000164	angiogram show atherosclerotic ras
ImageCLEFmedCaption_2022_train_000165	digital subtraction angiogram of the right internal mammary artery show hypertrophied second right bronchial artery arise from the internal mammary artery this bronchial artery be embolize use pvagelfoam slurry after selective cannulation
ImageCLEFmedCaption_2022_train_000166	example patient  preintervention angiography preintervention angiography of proximal right  middle cerebral artery demonstrate severe focal stenosis
ImageCLEFmedCaption_2022_train_000167	right coronary artery reveal a  percent ostial narrowing show by arrow
ImageCLEFmedCaption_2022_train_000168	lao cranial view of the rca origin of the lad artery from the ostium of the rca can be see along with severe stenosis of the proximal portion of the lad artery the distal lad artery with septal branch can also be see
ImageCLEFmedCaption_2022_train_000169	radiographic series perform during oesophageal dilatation
ImageCLEFmedCaption_2022_train_000170	cardiac catheter
ImageCLEFmedCaption_2022_train_000171	intraop iitv imageshow fixation with pedicle screw and transpedicular curettage of the body of  vertebra with a curette to remove the tubercular material iitv image intensifier television
ImageCLEFmedCaption_2022_train_000172	lateral fluoroscopic view show needle position below the  pedicle and intradiscal contrast injection
ImageCLEFmedCaption_2022_train_000173	angiographic situation before and after embolization of the left uterine artery
ImageCLEFmedCaption_2022_train_000174	right coronary angiogram in a straight right anterioroblique projection demonstrate two fistulae indicate by arrow the first fistula connect the proximal right coronary artery to the right atrium and the second appear to connect the midvessel to the small cardiac vein
ImageCLEFmedCaption_2022_train_000175	shunt in lateral view immediately after the final deployment of disk
ImageCLEFmedCaption_2022_train_000176	late phase of right coronary angiography after fill back the anomalous left anterior descend the contrast be drain back to the pulmonary artery trunk
ImageCLEFmedCaption_2022_train_000177	final result after transradial intervention
ImageCLEFmedCaption_2022_train_000178	an emergency right coronary angiogram  year prior
ImageCLEFmedCaption_2022_train_000179	follow through demonstrate the extent of the sequester segment
ImageCLEFmedCaption_2022_train_000180	angiography during deb tace the angiography during tace show the large tumor occupy a central position in the liver
ImageCLEFmedCaption_2022_train_000181	coil embolisation of right hepatic arterial pseudoaneurysm
ImageCLEFmedCaption_2022_train_000182	a  f laser sheath solid arrow be manipulate carefully over the j retention wire and bend it forward enable the sheath to be advanced to the dbetal tip of the lead with additional laser energy the atrial lead be free completely from the appendage also see be the mechanical sheath hollow arrow within its outer sheath pull traction on the right ventricular lead
ImageCLEFmedCaption_2022_train_000183	coronary angiography lao   view show mid rca stent deployment
ImageCLEFmedCaption_2022_train_000184	dsa true lateral view post embolization leave eca injection arterial phase obliterate fistula and non filling of cavernous sinus
ImageCLEFmedCaption_2022_train_000185	narrowing of proximal to mid leave anterior descend artery arrow
ImageCLEFmedCaption_2022_train_000186	in the digital subtraction angiography imaging there be mild vertebral artery stenosbe in the neutral position
ImageCLEFmedCaption_2022_train_000187	collateral vein in both right and left side drain the low limb vein through the hemiazygos vein to the right heart
ImageCLEFmedCaption_2022_train_000188	retrograde pyelogram do before ureterorenoscopy show fill defect in right low ureter
ImageCLEFmedCaption_2022_train_000189	left heart catheterization show ballooning of the midleft ventricular cavity during systole
ImageCLEFmedCaption_2022_train_000190	first angiogram reveal patent diagonal branch
ImageCLEFmedCaption_2022_train_000191	pretreatment leave internal carotid angiography show a giant fusiform aneurysm in the cavernous segment
ImageCLEFmedCaption_2022_train_000192	stent inflation across the rvot
ImageCLEFmedCaption_2022_train_000193	entrap burr at distal leave anterior descend artery and rescue by balloon inflation arrow at the proximal stenotic lesion
ImageCLEFmedCaption_2022_train_000194	circumflex artery lcx be aplastic as show in the left caudal angiographic projection
ImageCLEFmedCaption_2022_train_000195	loop of wire soft end in left ventricle
ImageCLEFmedCaption_2022_train_000196	case  a  electrocardiogram with inferolateral early repolarization pattern with jpoint elevation and qrs slur after hypothermia treatment red arrow
ImageCLEFmedCaption_2022_train_000197	amplatz gooseneck snare place by a transhepatic access use to move the bullet away from the balloon and into a side branch of the rhv favorable for retrieval
ImageCLEFmedCaption_2022_train_000198	the venous phase of superior mesenteric arteriography show a large shunt between the inferior mesenteric vein and leave internal iliac vein
ImageCLEFmedCaption_2022_train_000199	coronary angiography show no obstructionarrow point to the right coronary artery
ImageCLEFmedCaption_2022_train_000200	diagnostic cerebral angiogram show dissect widenecked leave mca aneurysm and widenecked complex basilar type aneurysm after embolization
ImageCLEFmedCaption_2022_train_000201	occlusion cholangiogram during endoscopic retrograde cholangiopancreatography with a balloon catheter show the tortuous cystic duct and partially fill gallbladder with a large  cm stone
ImageCLEFmedCaption_2022_train_000202	coronary angiography show total occlusion of the right coronary
ImageCLEFmedCaption_2022_train_000203	vertebral angiography at  level there be stagnation of contrast at the anterior spinal canal portion pseudoaneurysm arrow be suspect
ImageCLEFmedCaption_2022_train_000204	aps embolization
ImageCLEFmedCaption_2022_train_000205	leave internal carotid artery angiogram obtain  month later demonstrate diffuse stenosis throughout the stente segment of the internal carotid artery most severely within the midportion of the stent
ImageCLEFmedCaption_2022_train_000206	venogram of post arterial switch repair patient demonstrate narrow at superior vena cava innominate junction ijv  internal jugular vein svc  superior vena cava ivc  inferior vena cava mpa  main pulmonary artery rpa  right pulmonary artery lpa  left pulmonary artery ra  right atrium arrow head show narrow at superior vena cava  innominate junction
ImageCLEFmedCaption_2022_train_000207	case  fluoroscopy image show a stricture red arrow at the fusion position of the distal common bile duct cbd and pancreatic duct and dilation of the cbd
ImageCLEFmedCaption_2022_train_000208	aortogram in  show residual coa repair site arrow
ImageCLEFmedCaption_2022_train_000209	man with scrotal avm during the initial treatment flow through the avm be occlude follow the placement of six microcoil arrow
ImageCLEFmedCaption_2022_train_000210	flouroscopic image of plastic stent   during insertion over guide catheter
ImageCLEFmedCaption_2022_train_000211	man with severe aortic stenosis doubleoblique reconstruction image of ecggate multidetector ct show calcified tricuspid valve
ImageCLEFmedCaption_2022_train_000212	aortic angiography demonstrate the pseudoaneurysm arrow and the severe aortic regurgitation see also movie
ImageCLEFmedCaption_2022_train_000213	lao cranial view show common origin of both rca main coronary artery and leave main coronary artery
ImageCLEFmedCaption_2022_train_000214	this image demonstrate a hepatic vein stent place for hepatic venous stenosis in a liver transplant the patient be undergo a subsequent tips procedure
ImageCLEFmedCaption_2022_train_000215	spinal angiography show diffuse blush at the site of lesion
ImageCLEFmedCaption_2022_train_000216	dilated vein patch after angioplasty
ImageCLEFmedCaption_2022_train_000217	cerebral angiogram perform on  october  the float thrombus be observe at the left internal carotid artery arrow
ImageCLEFmedCaption_2022_train_000218	balloon occlusion test which be perform before tumor removal show a good crossfilling via the anterior communicating and no vascular lesion
ImageCLEFmedCaption_2022_train_000219	contrast spread up to head of  rib
